Date,Full Retreat and Summaries,Title of Event,#,Transcript or Writing,Title of Talk or Writing,Link,Broad Topics,Detailed Topics
,Airtable - A Note from the Hermes Amara Foundation.pdf (https://v5.airtableusercontent.com/v1/14/14/1673553600000/KHNdHF8_dThbSFqCGjrpaQ/dQJWPmYwdoWG097HHcO7VpD5DAvldulUWLxsTDRBsp8cANGsRq2eV8R6iuBkOeeb4Hwy2nxAs0JOOFO8FRhNYsTwNUeLnIF6GK8dZIBiXfOZGLFHox4_hqvo8QVu1XTXKMpcc3uy7LG4kTHDknSvcA/avXRUMSzYVtogxBOE6Lyw22LuRxywmzVZr5xiTnkYnY),<-- A note from the Hermes Amāra Foundation,,,,,,
,"2021_0729 Transcription Compilation 2013-2020.pdf (https://v5.airtableusercontent.com/v1/14/14/1673553600000/kUb_c4ybu3xLojfghl19sQ/Ajk19Ta9DZO5yNeO4J_WvyjNAZLcK9uCZ5ClJEVd9mI2hcgswhyBy90qcfNIKSsIbPN7h3nnDVuL4vvmGvDuhEd56Kl1n258J3CJEF5WZIEe83bd5bKqkcf41NuLKiwVz5iZPxjl9F6vteaoIaqDOw/j3isppMopcy8sE13Kvu_5zvSwYoAEAHx_TVA7NUa18A),2021_0915 Transcription Compilation 2005-2012.pdf (https://v5.airtableusercontent.com/v1/14/14/1673553600000/SNwEXMMs5mV_PjyO2Kl3lg/ZrAuA7TcevzPtaIX64toxjQWexzYHu8eb5RJf_apT7Zzm49AkRr33CUks9hZNfyX036EZxGZpV7LRV7CYfF7__MO-U38hQBl8W9r602z_y9dhTAyBXkz4fG5gStrWc35rniXnAX9G24AgLSR13XSng/LVK5SNTQIQ0Gdn32qP09ocFlOHRxpoP_vTv6tEywDSU)",<-- All transcriptions divided in two searchable files,,Airtable Overview File.pdf (https://v5.airtableusercontent.com/v1/14/14/1673553600000/8KjYvXfZZ3mo43MTuel36g/Lw8Cu_qE8hIWgVsvzoclTyzip6WSpef48jXWsezOqjuvDs5far-CWL62bZEat5rA0rGL99yy2ZKcnckZEfnX784eB_IVl7EtkoSu7KxdAOM/22mhNmtMS2gU2LMok5vnUuCGmK976oQxK3ymVlOx_xo),<-- Information about this project and using this Airtable,,,
2005-11-05,2005_1105 November Solitary.pdf (https://v5.airtableusercontent.com/v1/14/14/1673553600000/V_nR-90lzFAsqRtSSrr1MA/l2OLWO1nvkccQqHNko0v0a3NmbeZ4j0e73dlHGqUNlJiZq2-sRCYDvo5y5z_c6KaYusxKQ9Ck1nSqCShuV_B71pSRo62yRy-mYpNBAJambIU96M6CGI3q1T3_W2QneCM/0sxoSXACoeLhzIdc2B_2izOI3OgYynNW9VBWIms6gIo),November Solitary,1,2005_1105 Mindfulness of Mind States.pdf (https://v5.airtableusercontent.com/v1/14/14/1673553600000/VFIvEO-cU8A408McRO3TbA/B_jT_ueemM97JLf3UEi2yx3IHjq1Jm-oAbTFRpQApE0OSXyjuu3Yw303vK44g3Dr1IJ2_mVdL4tN_lxjktFHU8Xz8_oYfgQYkvVLLwtEEPio7JXoVzUYs9Au0VjGBwkr/z3-2ohFqkCVREDucoSNFGxzKmyt7dbwgUp5IC5s-vcs),Mindfulness of Mind States,https://dharmaseed.org/teacher/210/talk/21010/,emptiness/insight,"mindfulness,""mindfulness, foundations of: third foundation (citta)"",emotions / mind states: how to recognize mind states,""emotions / mind states, resourcing and cultivating skillful"",purification / stored psychological material,""emotions, skill with"",impermanence (anicca)"
2005-11-12,,November Solitary,2,2005_1112 Contemplating the Three Characteristics Part 1 - Impermanence and Dukkha.pdf (https://v5.airtableusercontent.com/v1/14/14/1673553600000/SbgU9C5Ep99rwx94m2yt4w/lPAgsoVCfXofhPrSRFS-KfK8KOYTTupiFzE90AU0KWr2VIzGothHIfuR9I2y46JYdVBYrcukvL9oxgNqaKtvt8ZJtxJnOvop0ussHmScH4DhMFKQDMp5hXBdOqabxVzm2p-kHQK5IWCUcS9tAgtnRU2kEHglMc-zh13lNTJSDnR28ujcXASbvIOakOS3s3r4/_c2aFDol7LW0LN_W89JYznPKysbwaRRVr0qmce4Q2Bc),Contemplating the Three Characteristics (Part 1) - Impermanence And Dukkha,https://dharmaseed.org/teacher/210/talk/21008/,emptiness/insight,"three characteristics,dukkha (suffering),impermanence (anicca)"
2005-11-16,,November Solitary,3,2005_1116 Contemplating The 3 Characteristics Part 2 - Anatta Not-Self.pdf (https://v5.airtableusercontent.com/v1/14/14/1673553600000/upbnumzTmPkih05jOvfupw/o0MToRJOGswInzPRrro8UColi4OUsy0vh-x9lyG8VLoKrwNJZ4fgsHeBbCJ-GuBKuIwlpTBMHB6LG1Fu-PTkPFol6-8cbb3nCqTJxPpT7PQxvFCl3m7WbHuCOhMVMKUG-VGLj0VPpgaWuDhxH79pC0farIMyFsqU5GB5Hus90fk/fo1OLPEJGpMLVah4_81mx_lDgecavgpercibNZ3IgMo),Contemplating the Three Characteristics (Part 2) - Anatta (Not Self),https://dharmaseed.org/teacher/210/talk/21009/,emptiness/insight,"three characteristics,not-self (anatta),""self-views, noticing and practicing with"",aggregates (skandhas)"
2005-11-22,,November Solitary,4,2005_1122 Compassion and Emptiness.pdf (https://v5.airtableusercontent.com/v1/14/14/1673553600000/KLUpv7ar-eq9agVJorKVCg/AewTxkEIeOKwRLAosGgZ5wNNhwPiJxxhoT0XV_8Rr6za9mp0EkiOPm8Tl9_cGJf6GWNAPy66tTpAVKXqHjg9goUrjeYelrqIzb8yXs6R2PdjF5uiJNToF6k9UWB9pjOx/sIX1mNLf60K2M53U__YA0CAEYeq2gZLwqFZwDfF_7hQ),Compassion and Emptiness,https://dharmaseed.org/teacher/210/talk/21007/,"brahmaviharas,emptiness/insight","compassion,emptiness/insight leads to more care and love"
2005-12-17,,The Art of Letting Go - Insight Meditation,1,2005_1217 The Art of Letting Go - Insight Meditation.pdf (https://v5.airtableusercontent.com/v1/14/14/1673553600000/FgElvWunb8a4Rpo-4Nstww/smHo7I1FhyPzmrJCWKv76FDmFF60pakBpq_zNivmqzcYbjISXfFsgtbeeoMH_nkD5fLDKJhE8T0Fwc-UnrEE0fceEPHOIYbX77AAqiVdn_vVegALiiNd6j_iPwLgGzP9V53JdsMov2ZEzZwKX4iknA/5psjmqfSpIwihnknwXA6tGeAj_r2lukXaea-2GG5Dfo),The Art of Letting Go,https://dharmaseed.org/teacher/210/talk/21013/,emptiness/insight,"mindfulness,renunciation/letting go,clinging / craving: practical approaches,clinging / craving: noticing and working with in body"
2005-12-29,,New Year Retreat,1,2005_1229 The Place of Love in Insight Meditation.pdf (https://v5.airtableusercontent.com/v1/14/14/1673553600000/e4J-wX1TLeDMmY-AzyWgDQ/eg8zSKeZby114GZ3_m5pHeJsLUls4cgvJ43662QWH_R_8Rq0UNN4jNlumuBkbsLrqLoRKifQ5V-go_1ZLnTnlRJoZPxZVck0t1XlYss3SNHiTuJjdXvdQNrD53c86yLclWILHgexSxaHd2KqySf5Gg/M0ySa4x74Hf1witpFMXZyUscznvpr4OfEghY_SUviPI),The Place of Love in Insight Meditation,https://dharmaseed.org/teacher/210/talk/21006/,"brahmaviharas,emptiness/insight","metta,mindfulness,insight and cultivation (aspects or wings of the path),Practice: welcoming/allowing"
2006-02-09,2006_0209 Working and Awakening.pdf (https://v5.airtableusercontent.com/v1/14/14/1673553600000/_WsTnsNXgnzNJazyMsKUtQ/0rqGdZKPR3DsPX9IprQtKoH4eTMgd00RYCe4235KNbmUw-u5FdgG9unxpwjWZjeUrxF5EN4usRNPMlwQRXG_AnL6w_DmfadMHOpBEfF-LwYzB8AZA2X1F1S3ZIJWXg33/1oYMMsweXnCT2XSh0MrCnKdHDtXEvHQVyDSMxg9sAVY),Working and Awakening - A Work Retreat,1,2006_0209 Renunciation and Joy.pdf (https://v5.airtableusercontent.com/v1/14/14/1673553600000/oJ-VDkHlCpiWQPaNiNaONw/bs1Ix8LJqfBSVmddS2IIKWff2HFDlY2HBA09AiM0LD2k6LZpcJy7Rw198o4Io4gnfGN0fCIIqytluJmcKf8vsaruJcDPTekwyG3zAGuje7Z5EP8Igt8zydkFGE9X6wuu/jd0FkOnOEbDHjc1D9HcHoIFSo7h5U4ZOXGGfi50xJW0),Renunciation and Joy,https://dharmaseed.org/teacher/210/talk/12860/,"brahmaviharas,emptiness/insight","renunciation/letting go,joy,eightfold path,sensitivity"
2006-02-11,,Working and Awakening - A Work Retreat,2,2006_0211 Beyond the Prison of the Self.pdf (https://v5.airtableusercontent.com/v1/14/14/1673553600000/Z0UfUBHQUaSpfRmQKK8YAQ/wqCShp2rYyzcqj1621ntlACtrsaK4JSm8WaR-tTPyxqj90OCesRMxyKycJPXV79WKaXsNQKLSRv9X9UDqkJx-V4pmURBAF5InNq4uW7C3et8ANui_BjD-Z4w6rxtgvQ0/4lLn8PuLT_xpUpk_-4eMPB8rYr6E5lLO8nMPCywuVEs),Beyond the Prison of the Self,https://dharmaseed.org/teacher/210/talk/12445/,emptiness/insight,"""self-views, noticing and practicing with"",not-self (anatta),generosity,judgment/inner critic"
2006-04-23,"""2006_0423 Aspects of Mindfulness, Parts One and Two.pdf (https://v5.airtableusercontent.com/v1/14/14/1673553600000/4TU5-drWCA2Ef_4Cz8ybow/89lwh5BDvt3TmFo9UwRQzK3xMOrJSWLSlX9jULQAkNy4kAWwrb7r-iGf3oaVasES7q4r6ekjdBxYj_3qh199mzc82KQKIKz2ngEbsaZvJvt9J2zDljPgXCpvp5I2IA0-MrSANOFQApfx4yRCPcaGdA/ih92e_zDPhynwMU-cnv-R4NJnQp6n9pPQdmNFAnW53s)""",Meditation Day,1,"""2006_0423 Aspects of Mindfulness, Part 1.pdf (https://v5.airtableusercontent.com/v1/14/14/1673553600000/bFw4YZQW3l_y_4AgWDYZ_w/DzpKRkmJzk8W2vMHsoliZEXr-CbHh7NjhSdVj-UqfoOVFNfFkGJZZyRGqLNy99afImRS43Q5Ue65ltlLpG6iwgnz-mKZRLUFpvrsbTjwcpweAxDnCPb922zL_Nb7fjJh/R9AUBENxkrX0OEbJNEaJ5lD5kWpBFiNqoBRYmyaiyxA)""",Aspects of Mindfulness (Part 1),https://dharmaseed.org/teacher/210/talk/21012/,emptiness/insight,"mindfulness,close investigation of experience / 'bare attention'"
2006-04-23,,Meditation Day,2,"""2006_0423 Aspects of Mindfulness, Part 2.pdf (https://v5.airtableusercontent.com/v1/14/14/1673553600000/LV_QF_ms5wmZMcL_Cza6Jg/hf0jbvXxDt2iSymvM9myAg_m3j3j9KYWWhqfa6HUQLqAAhQ-BJgdhVIgJQPZOK5iAawhWwJkORv9lcEBcmQztNILb6qsYZJhEyWIBqYYPrdOxMoqbyNhKc-3Je3nj7t8/pkDbTf8K3QcPNIoudBXWJOSvURf26ztnMchT6P74nAI)""",Aspects of Mindfulness (Part 2),https://dharmaseed.org/teacher/210/talk/21011/,emptiness/insight,"mindfulness,emptiness/insight: personal vs universal vs ultimate insight,eightfold path,purification / stored psychological material,close investigation of experience / 'bare attention',sensitivity,mindfulness: RAIN"
2006-10-01,"""2006_1001 Silent Autumn Retreat, Finland.pdf (https://v5.airtableusercontent.com/v1/14/14/1673553600000/sppUQzFDrNq0WTtby7Tq_g/iZNicev7dGWb-dDuYhWsL9UtywM8aZ5rnP4k24AXHoFiwgdalsTFkYC3aLRxVpdaWho5ksoE_3E2NOBBAryoDpGBZulxfCpEZuDu47TRQ4depHaRXslPWhnLGeSeERro/OS1dAjB96xfcAFdVUYXp5ef3rI80MCl1dNZhkMlHiqI)""","Silent Autumn Retreat, Finland",1,2006_1001 Sunday Morning Instructions.pdf (https://v5.airtableusercontent.com/v1/14/14/1673553600000/l-FePB83b3Vz0ylhTZZgMA/bJ5VTOYFHpBwh8gtD5mjQ2NXJI3brAhSTq5Bx_THJ2Ihq56UbI9Lcbgzi5e1Dzco9nu2vzL5CBEWJR4d-eKnh_mMrBSctXSPHd3wKuFboCe6Y7f4eqkPQTCqV1blV8jZ/7LWWk5hkY2UV54odPSnhYEkbLLEf-_NMg2QiEc12YYY),Sunday Morning Instructions,https://drive.google.com/file/d/16_rBlYu7-JUlRDQFvS-NF7MRwkxnITUF/view?usp=sharing,"emptiness/insight,samadhi/jhana","mindfulness,guided meditation on the breath,samadhi,close investigation of experience / 'bare attention',""samadhi: qualities practice develops (refinement, patience, mindfulness, etc.)"",insight and cultivation (aspects or wings of the path)"
